ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL
MSI Bravo 15 Ryzen 7 Octa Core 5800H,4.4,312,45,57990,72990,AMD Ryzen 7 Octa Core Processor,16 GB DDR RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/h/q/-original-imagrmhu8wvhykb7.jpeg?q=70
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,2211,234,43990,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70
HP 14s Intel Core i3 11th Gen,4.3,3380,288,35990,47279,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/v/9/-original-imagp7pfeutcgxrn.jpeg?q=70
HP 15s Intel Core i3 12th Gen,4.3,919,105,41990,56261,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/l/e/-original-imagphhhan259czj.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,815,87,48890,59109,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/l/u/-original-imagp7pf4hphhyhu.jpeg?q=70
HP Intel Core i5 11th Gen,4.3,1057,74,51490,56903,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/a/8/-original-imagp7pf86vm9mmj.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,59,4,43490,49631,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/7/4/-original-imagp8xzmyz8jyua.jpeg?q=70
Lenovo IdeaPad 3 Intel Core i5 11th Gen,4.2,811,54,46990,64290,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/p/i/-original-imagrh4denyatghe.jpeg?q=70
MSI Core i5 11th Gen,4.3,1179,122,49990,67990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,2672,249,45990,55691,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/p/9/-original-imagp7pfnchrzxhr.jpeg?q=70
MSI Bravo 15 Ryzen 7 Octa Core 5800H,4.4,312,45,55990,69990,AMD Ryzen 7 Octa Core Processor,8 GB DDR RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/h/q/-original-imagrmhu8wvhykb7.jpeg?q=70
HP Victus Gaming Ryzen 5 Hexa Core 5600H,4.2,140,10,53990,66769,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/i/r/-original-imagrmczdhd4zf8d.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.2,2568,278,36990,47147,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/u/6/-original-imagp7pfd65hfses.jpeg?q=70
HP 15s (2023) Intel Core i3 13th Gen,4,53,7,47990,69083,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/b/g/-original-imagregrjumdnhrb.jpeg?q=70
HP 15s (2023) Intel Core i3 13th Gen,4,53,7,47990,54552,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/a/c/-original-imagreh9cuzdgut9.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.2,2120,166,41980,54552,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/5/b/-original-imagp7pfkjydaptk.jpeg?q=70
HP 15s (2023) Intel Core i3 13th Gen,4,53,7,48490,54552,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/k/p/-original-imagreh4byfrunc7.jpeg?q=70
MSI Core i5 12th Gen,4.1,81,13,45990,67990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/p/e/-original-imagnqmwkz8nfwth.jpeg?q=70
